name,id,acousticenss,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,type,uri,valence
VALENTINO,6piAUJJQFD8oHDUr0b7l7q,0.199,0.746,179133,0.717,0,9,0.132,-4.841,0,0.179,150.964,4,audio_features,spotify:track:6piAUJJQFD8oHDUr0b7l7q,0.523
Drankin N Smokin,0k7wmahjkn389wAZdz19Cv,0.0421,0.752,213520,0.658,0,0,0.0927,-6.297,1,0.342,151.951,4,audio_features,spotify:track:0k7wmahjkn389wAZdz19Cv,0.387
Spicy (feat. Post Malone),5IUtvfNvOyVYZUa6AJFrnP,0.143,0.782,143375,0.51,0,4,0.115,-5.724,0,0.0419,99.993,4,audio_features,spotify:track:5IUtvfNvOyVYZUa6AJFrnP,0.118
Energy,79XrkTOfV1AqySNjVlygpW,0.38,0.747,181933,0.571,0,11,0.534,-7.916,1,0.478,172.104,4,audio_features,spotify:track:79XrkTOfV1AqySNjVlygpW,0.553
GOOBA,4NhDYoQTYCdWHTvlbGVgwo,0.0264,0.611,132303,0.688,0,1,0.251,-5.688,1,0.341,178.462,4,audio_features,spotify:track:4NhDYoQTYCdWHTvlbGVgwo,0.393
Astronaut In The Ocean,6E90gq0KO6FYZVOXx8kCcC,0.175,0.778,132780,0.695,0,4,0.15,-6.865,0,0.0913,149.996,4,audio_features,spotify:track:6E90gq0KO6FYZVOXx8kCcC,0.472
The Box,0nbXyq5TXYPCO7pr3N8S4I,0.104,0.896,196653,0.586,0,10,0.79,-6.687,0,0.0559,116.971,4,audio_features,spotify:track:0nbXyq5TXYPCO7pr3N8S4I,0.642
Ramen & OJ,4TIqzdAssasqx3DAe6cG9J,0.492,0.597,218448,0.571,0,1,0.093,-6.205,0,0.293,106.196,3,audio_features,spotify:track:4TIqzdAssasqx3DAe6cG9J,0.165
Die by Fire,59jibZuJQG1rkWTkCKkn6F,0.311,0.679,122828,0.749,1.26e-06,10,0.0964,-2.482,0,0.0435,172.019,4,audio_features,spotify:track:59jibZuJQG1rkWTkCKkn6F,0.748
Feelings,3bunovg8ep6uXccEg5RUAy,0.0442,0.793,137188,0.735,0,7,0.0895,-6.899,0,0.0531,83.936,4,audio_features,spotify:track:3bunovg8ep6uXccEg5RUAy,0.585
24,2FVMbLuIxo0dz3KLXgN6Jh,0.0265,0.842,160952,0.715,0.0554,2,0.0831,-6.03,1,0.0912,126.021,4,audio_features,spotify:track:2FVMbLuIxo0dz3KLXgN6Jh,0.428
Late Nights,4tFWHvXkGeJPH0hLeq3c06,0.535,0.662,228389,0.667,0,0,0.215,-4.905,0,0.0832,71.465,4,audio_features,spotify:track:4tFWHvXkGeJPH0hLeq3c06,0.313
Over Your Head,0Tcw8w9pvPrZoORgxsNASW,0.00198,0.773,186843,0.742,0,5,0.558,-5.453,0,0.162,148.949,4,audio_features,spotify:track:0Tcw8w9pvPrZoORgxsNASW,0.35
Obedient,0ZCWaBh3XOTcuwy032ZKCl,0.605,0.798,179500,0.703,2.91e-05,11,0.153,-6.63,1,0.133,87.98,4,audio_features,spotify:track:0ZCWaBh3XOTcuwy032ZKCl,0.517
bonjour!,1q4FIrf3g0Q9nrd2LvhQkw,0.0492,0.606,114000,0.709,0,5,0.09,-8.131,0,0.0476,156.029,4,audio_features,spotify:track:1q4FIrf3g0Q9nrd2LvhQkw,0.654
"I Hate You, But I Love You",4upK9OgMepvBFEGD8CDE9A,0.503,0.462,132952,0.371,0,10,0.135,-11.201,1,0.0522,139.637,4,audio_features,spotify:track:4upK9OgMepvBFEGD8CDE9A,0.255
